हिन्दू,हिन्दू त्यौहार,मुस्लिम,मुस्लिम त्यौहार,राष्ट्रीय,राष्ट्रीय दिवस,सिख,सिख त्यौहार,Angad,djdj
2026-01-14,मकर संक्रांति,2026-02-02,शब-ए-बरात,2026-01-01,नव वर्ष (New Year),2026-01-05,गुरु गोबिंद सिंह जयंती,,
2026-01-24,बसंत पंचमी,2026-02-18,रमज़ान आरंभ,2026-01-26,गणतंत्र दिवस (Republic Day),2026-01-13,लोहड़ी,,
2026-02-15,महाशिवरात्रि,2026-03-20,ईद-उल-फितर (मीठी ईद),2026-02-14,वैलेंटाइन डे,2026-04-14,बैसाखी,,
2026-03-03,होली,2026-05-27,ईद-उल-जुहा (बकरीद),2026-03-08,अंतर्राष्ट्रीय महिला दिवस,2026-11-24,गुरु नानक जयंती,,
2026-03-26,राम नवमी,2026-06-26,मुहर्रम,2026-04-22,पृथ्वी दिवस (Earth Day),,,,
2026-04-01,हनुमान जयंती,2026-08-25,मिलाद-उन-नबी,2026-05-01,मजदूर दिवस (Labour Day),,,,
2026-04-20,अक्षय तृतीया,,,2026-05-10,मदर्स डे (Mother's Day),,,,
2026-08-29,रक्षाबंधन,,,2026-06-05,विश्व पर्यावरण दिवस,,,,
2026-09-04,कृष्ण जन्माष्टमी,,,2026-06-21,अंतर्राष्ट्रीय योग दिवस / फादर्स डे,,,,
2026-09-14,गणेश चतुर्थी,,,2026-08-15,स्वतंत्रता दिवस (Independence Day),,,,
2026-10-18,दशहरा (विजयादशमी),,,2026-09-05,शिक्षक दिवस (Teachers' Day),,,,
2026-11-08,दीपावली,,,2026-10-02,गांधी जयंती,,,,
2026-11-13,छठ पूजा,,,2026-11-14,बाल दिवस (Children's Day),,,,
,,,,2026-12-25,क्रिसमस (Christmas),,,,
